특성별(1),특성별(2),주차장 건립,재래시장 시설 현대화,노점상 등 가로정비,거래형태 개선,고객 편의시설 확충,업종 전문화 특화상품 개발,이벤트 등을 공동으로 개최,상인의 친절의식 혁신교육,기타
전체,소계,26.7,21.4,5.1,20.5,7.8,4,2.4,11.1,0.9
성별,남,31.5,20.2,5,18.9,7.1,4.4,2.7,9.4,0.8
성별,여,22.2,22.6,5.2,22.1,8.5,3.6,2.2,12.7,0.9
구군별,중구,24.5,16.6,5.3,17.1,11.8,6.4,3.1,15.4,0
구군별,서구,25,26.2,5.9,16.7,9.5,2.8,2.9,9.9,1.2
구군별,동구,22.9,24,5.6,17.4,9.9,3.6,2.5,13.9,0.2
구군별,영도구,17.1,19.7,6.5,24.6,13.9,4.7,3.9,9.4,0.2
구군별,부산진구,25.6,15.3,3.9,26.2,8.3,2.1,2.4,15.7,0.6
구군별,동래구,28.3,24.2,6.1,18.8,6.1,3.6,1.8,9.5,1.5
구군별,남구,23.8,20.9,7.4,20.8,8.8,4.8,1.9,11.1,0.5
구군별,북구,24.9,18.8,5.6,19.6,7.4,6.1,3.5,13.9,0.1
구군별,해운대구,28,19.6,3.3,23.8,6.5,4.9,2.6,9.7,1.6
구군별,사하구,27.6,28.7,5.8,18.4,7.6,2.8,1.9,6.6,0.6
구군별,금정구,29.4,21,3.6,16.6,8.7,5.6,3,11.7,0.4
구군별,강서구,33.1,23.9,5.6,20.2,6.1,2.9,1.3,6.8,0
구군별,연제구,28.1,27.2,5.3,16.2,5.2,2.5,1.8,12.2,1.4
구군별,수영구,23.9,22.4,4.9,21.7,8.7,3.9,2,10.5,2.1
구군별,사상구,31.3,17.1,5.1,21.4,7.9,4.5,2.8,9.2,0.8
구군별,기장군,28.7,21.7,5.1,19,5.7,2.8,1.9,13.3,1.8
연령별,15-19세,14.8,21.8,5.4,14.7,12.1,5.8,10.4,13,1.9
연령별,20-29세,18.8,18.1,4.1,31,8.3,5.5,4.5,8.8,0.9
연령별,30-39세,35.7,15.2,2.9,27.6,5.9,3,1.4,7.2,1
연령별,40-49세,35.2,19,3.1,22.9,5.8,3.4,1.5,8.7,0.4
연령별,50-59세,30.7,21.7,5.3,20.1,6.4,4,1.4,9.9,0.6
연령별,60세이상,20.6,27.9,8.1,10.8,10,3.6,1.4,16.5,1
교육수준별,초졸이하,15.5,30.8,8.6,7.7,11.2,3,2,20,1.2
교육수준별,중졸,19.6,26,7,13.3,10.2,4.1,4.2,14.5,1.1
교육수준별,고졸,25.9,20.5,5.2,22.8,8,4.2,2.6,10.1,0.7
교육수준별,대졸이상,34.1,17.4,3.1,25.4,5.5,4.1,1.7,7.8,0.8
직업별,전문관리,36,16.9,2.7,25.1,5.7,4,1.7,7.2,0.7
직업별,사무,35.5,16.3,3.3,25.9,6,3.4,1.3,7.6,0.6
직업별,서비스판매,30,19.3,4.7,24.3,6.7,4.1,2.2,8.1,0.6
직업별,농어업,32.1,27.5,9.2,7.4,8.7,2.2,1.5,10.7,0.5
직업별,기능노무,32.1,20.8,5.4,20,7.2,3.5,1.7,8.6,0.7
가구의 월평균 소득별,100만원 미만,13.5,29.1,8.4,10.4,11.5,3.5,1.8,20.9,1
가구의 월평균 소득별,100-200만원,21.4,24.4,6.8,18.1,9,4.3,2.5,12.5,0.9
가구의 월평균 소득별,200-300만원,28,20.9,5.4,21.4,7.2,3.3,2.5,10.6,0.8
가구의 월평균 소득별,300-400만원,29.4,19.9,3.9,24.4,7.1,4.2,2.1,8.2,0.7
가구의 월평균 소득별,400-500만원,31.2,18,3.5,23.7,6.6,4,3.2,8.9,0.8
가구의 월평균 소득별,500-600만원,30.6,17.9,4.2,24.4,6.4,4.6,2.6,8.3,1.1
가구의 월평균 소득별,600~700만원,33.1,17.4,3.4,23.3,7.3,3.8,2.8,8.2,0.6
가구의 월평균 소득별,700만원 이상,38.1,18.9,2.6,18.9,5.5,5.1,2,7.7,1.1
