특성별(1),특성별(2),주차장 건립및 확장,재래시장 시설 현대화,노점상 등 가로정비,거래형태 개선,고객 편의시설 확충,업종 전문화 특화상품 개발,이벤트 등을 공동 으로 개최,상인의 친절의식 혁신교육,기타
전체,소계,28,21.5,5.9,20,7.9,3.9,2.2,9.7,0.9
성별,남,33.2,19.3,5.7,18.6,7.2,4.2,2.3,8.7,0.8
성별,여,23.1,23.6,6.1,21.3,8.6,3.7,2.1,10.6,1
구군별,중구,24.1,14.8,4.8,20,7.8,2.6,2.1,23.3,0.4
구군별,서구,24.1,23.8,5.8,22.3,9.3,2.6,2.1,8.8,1
구군별,동구,25.5,28.3,4.7,16.2,9.5,4.6,1.4,9.2,0.5
구군별,영도구,16.6,18.1,3.9,25.4,13.4,4.7,3.8,14.1,0.2
구군별,부산진구,27.2,15.5,3.9,24.5,9.3,3.5,2.2,13.2,0.6
구군별,동래구,25.3,23.7,7.7,22.7,9.1,3.4,1,6.7,0.5
구군별,남구,24.8,18.4,6.8,19.4,11.5,4,2.2,12.5,0.3
구군별,북구,35.4,13.8,6.6,21.6,6.8,2.4,1.4,11.9,0
구군별,해운대구,25.1,23.7,5,19.3,8.2,6.5,3.6,8.2,0.4
구군별,사하구,30.4,21.1,8.5,18.2,5.9,3.7,2.7,8.9,0.6
구군별,금정구,29.8,30.7,2.3,15.9,6,2.9,1.8,8,2.6
구군별,강서구,31.4,21.4,6,20.4,8.5,4.3,2,5.8,0.2
구군별,연제구,32.5,23.4,9.6,16.2,6.5,3.6,1,6.4,0.7
구군별,수영구,27.3,21.2,6.4,17.9,6.5,6.4,2,10.8,1.4
구군별,사상구,30.1,25.2,5.9,19.3,6.4,3.6,2.8,5.8,0.9
구군별,기장군,30.3,22.9,4,19.3,4.4,2.8,1.7,10,4.4
연령별,15-19세,16.9,21.7,3.6,18.6,12.2,6,8.7,11.5,0.9
연령별,20-29세,19.3,19.1,4.4,29,9,5.4,4.3,8.4,1
연령별,30-39세,34.4,14.7,3.4,28.3,5.8,3.3,1.6,7.5,0.8
연령별,40-49세,38.1,17,3.9,23.4,6,3.3,1.2,6.6,0.5
연령별,50-59세,34.1,20.4,5.7,19.2,6.5,3.7,1.3,8.7,0.4
연령별,60세이상,21.4,29.2,9.5,10.2,9.8,3.7,1.4,13.4,1.3
교육수준별,초졸이하,15.1,33.8,10.5,6.8,10.1,3.3,2.3,15.8,2.2
교육수준별,중졸,20,25.9,8.7,13,11.3,4.1,3.4,12.8,0.9
교육수준별,고졸,27.6,20.7,5.7,22,7.8,4,2.4,9.1,0.6
교육수준별,대졸이상,35.2,16.8,3.7,24.5,6.3,4.1,1.5,7.2,0.7
직업별,전문관리,38.7,15.5,3.2,24.5,5.3,3.7,1.5,6.9,0.7
직업별,사무,37,17.4,3.3,24.4,6.3,3.1,1.7,6.3,0.4
직업별,서비스판매,32,19.9,4.9,21.9,7,3.9,1.6,8.1,0.7
직업별,농어업,34.2,26.3,8.2,14.7,8.9,1.6,1.4,4.1,0.6
직업별,기능노무,32.4,19.4,6.3,20.6,7.1,4,1.4,8.1,0.6
가구소득별,100만원미만,13.7,30.9,10.8,10.7,10.4,3.9,2.1,15.1,2.3
가구소득별,100-200만원,21.3,26.4,7.9,17.2,9.3,3.6,2.7,10.9,0.7
가구소득별,200-300만원,27.8,20.8,6.1,21.4,7.7,4,2,9.6,0.7
가구소득별,300-400만원,32.7,18.4,4.2,22.9,6.6,3.9,2.3,8.4,0.6
가구소득별,400-500만원,32.8,17.9,4.2,23.6,7.2,3.8,2,7.8,0.7
가구소득별,500-600만원,34.4,16.2,3.6,23.9,7,3.8,2.2,8.3,0.6
가구소득별,600-700만원,36.3,17.8,3.3,21.1,6.7,4.3,1.6,8.5,0.4
가구소득별,700-800만원,34.8,16.9,3.1,22.8,8.1,5.7,1.1,7,0.6
가구소득별,800만원 이상,37.2,18.8,4.1,18.9,8,4.5,2.2,5.6,0.8
