구분별(1),구분별(2),주차장 건립 및 확장,재래시장 시설 현대화,노점상 등 가로정비,거래형태 개선,고객 편의시설 확충,업종 전문화 특화상품 개발,이벤트 등을 공동으로 개최,상인의 친절의식 혁신교육,기타
전체,소계,28.2,22.4,4.5,17.4,10.2,5,2.3,9,0.9
성 별,남,33.4,21.2,4.5,15.9,8.8,5.2,2.3,7.8,0.9
성 별,여,23.3,23.6,4.5,18.9,11.6,4.7,2.3,10.2,0.9
구군별,중구,26.5,23.6,1.8,13.7,10.5,4.9,1.4,17.5,0.2
구군별,서구,25.3,29.5,3.2,20.4,6.7,2.5,2.1,8.7,1.7
구군별,동구,30.2,18.2,1.8,22.1,11.6,5.1,1.6,9.1,0.2
구군별,영도구,30.3,15.2,1.9,21.7,12.7,6.3,2.2,9.5,0.2
구군별,부산진구,26.1,16.8,6.6,19.8,12.4,3.4,2,12.4,0.5
구군별,동래구,24.9,25,7.5,15,12.2,4.4,2.7,8,0.2
구군별,남구,22,22.1,5.8,17.1,11.2,8.3,1.6,11.3,0.7
구군별,북구,25.7,16.3,6.8,18.5,11.7,5.6,3,12.3,0
구군별,해운대구,28.1,20.8,2.3,18.3,9,7.3,3.4,9.8,1
구군별,사하구,28.2,26.1,4.6,16.9,11.1,4.9,1.6,5.8,0.7
구군별,금정구,32.1,25.9,1.6,18.5,9.4,4,1.4,5.7,1.5
구군별,강서구,32.3,19.4,2.7,16,12,5,3.7,8.6,0.4
구군별,연제구,36.7,29.5,4.5,12.4,6.1,3.6,1.3,5.6,0.4
구군별,수영구,24.4,25.7,5.2,20.1,7.9,4.5,2.4,8.7,1
구군별,사상구,34.3,21.7,4.3,15.1,8.7,4.2,3.3,7.8,0.7
구군별,기장군,29.8,27.1,3.4,13.3,8.7,2.5,1.6,7.5,6
연령별,15~19세,13.2,25.8,4.5,16.6,13.3,7.2,6.9,11.1,1.5
연령별,20~29세,19.5,21.2,3.6,24.4,10,5.9,5.2,8.9,1.2
연령별,30~39세,31.6,18.2,3.6,22.8,6.5,5.2,2.4,8.4,1.3
연령별,40~49세,37.1,19.1,3.4,19.5,7.8,4.5,1.4,6.3,0.8
연령별,50~59세,34.9,21,4.3,16.6,8.7,4.7,1.3,8,0.5
연령별,60세 이상,24.3,26.7,5.8,11.7,13.6,4.5,1.4,11.1,0.9
교육수준,초졸이하,17.1,29,6.7,8.3,17,3.6,2.3,14.8,1.1
교육수준,중졸,21,26.3,5.4,13.5,14.1,4.9,2.5,11.4,1
교육수준,고졸,28.1,22.2,4.5,18.4,9.9,5,2.5,8.5,0.8
교육수준,대졸이상,33.6,19.7,3.6,20.2,7.5,5.3,2,7.2,0.9
직업,전문관리,34.7,18.8,3.3,20.8,7.2,5.4,1.8,7.1,0.9
직업,사무,34.9,19,2.9,20.9,7.4,5.1,1.9,6.7,1.1
직업,서비스판매,31.9,21.3,4.1,19.6,7.6,4.5,2.3,7.8,0.8
직업,농어업,34.8,19.7,2.3,14.1,14.9,1.6,3.6,8.9,0
직업,기능노무,34.7,21.3,4.8,16.3,9.1,4.5,1.6,6.9,0.8
가구의 월평균 소득,50만원 미만,17.6,25.3,5.1,7.5,20.4,4,2.2,16.6,1.4
가구의 월평균 소득,50~100만원,16.7,28,6.3,10.6,16.6,4.3,2.3,13.3,1.8
가구의 월평균 소득,100~200만원,23.4,25,4.4,16.6,12.6,4.9,2,10.1,1
가구의 월평균 소득,200~300만원,31.7,22.1,4.3,19.5,8.1,4.4,1.3,7.5,1.2
가구의 월평균 소득,300~400만원,38.7,20.2,4.1,17,7.1,4,1.4,6.6,0.9
가구의 월평균 소득,400~500만원,42,19.7,4.1,14.6,6.8,4.3,1.4,6.2,0.9
가구의 월평균 소득,500~600만원,43.2,18.4,3.1,15.5,7.5,5,0.9,5.9,0.6
가구의 월평균 소득,600~700만원,41.1,20.6,3.9,16.4,7.2,3.9,1.8,4.4,0.7
가구의 월평균 소득,700~800만원,50.8,16.7,2.6,15.1,4.7,3.7,1.3,4.3,0.7
가구의 월평균 소득,800만원 이상,45.5,19.6,3.1,13.8,4.3,6,0.9,5.8,1
