ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,MRKT_TY_NM,MRKT_OPER_PD,STORE_CO,ADIT_DC,USE_GCCT_CN,HMPG_ADDR,TOILET_EXST_AT,PRKPLCE_EXST_AT,OPNNG_YEAR,TEL_NO,DATA_BASE_DE,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KC483PO22N000000001,쇼핑,전통시장,강남시장,서울,강남구,1168010700,신사동,1168051000,신사동,1.16804E+11,서울 강남구 압구정로2길 46,6034,다사576467,127.0206916,37.51876726,상설장,매일,70,농산물+축산물+가공식품+의류/신발+기타소매업,,,Y,Y,1974,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000002,쇼핑,전통시장,신사상가,서울,강남구,1168011000,압구정동,1168054500,압구정동,1.16804E+11,서울 강남구 압구정로29길 72-1,6004,다사583482,127.028402,37.53228798,상설장,매일,90,농산물+수산물+가공식품+의류/신발,,,Y,N,1976,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000003,쇼핑,전통시장,영동전통시장,서울,강남구,1168010800,논현동,1168052100,논현1동,1.16804E+11,서울 강남구 강남대로128길 20,6114,다사579457,127.0238232,37.50999521,상설장,매일,110,축산물+가공식품+의류/신발+기타소매업,,,Y,Y,2011,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000004,쇼핑,전통시장,청담삼익시장,서울,강남구,1168010400,청담동,1168056500,청담동,1.16804E+11,서울 강남구 학동로101길 26,6077,다사609471,127.0576204,37.5224448,상설장,매일,183,농산물+축산물+가공식품+의류/신발+기타소매업,,,Y,Y,1980,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000005,쇼핑,전통시장,고분다리전통시장,서울,강동구,1174010900,천호동,1174060000,천호1동,1.17404E+11,서울 강동구 구천면로34길 13,5330,다사674493,127.1319288,37.54248956,상설장,매일,106,농산물+축산물+수산물+가공식품+가정용품,,,Y,Y,2011,02-6227-0045,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000006,쇼핑,전통시장,길동복조리시장,서울,강동구,1174010500,길동,1174068500,길동,1.17404E+11,서울 강동구 천호대로193길 37,5350,다사685487,127.1435606,37.53753608,상설장,매일,166,농산물+축산물+수산물+가공식품+음식점업,,,N,Y,2011,070-4896-2544,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000007,쇼핑,전통시장,둔촌역전통시장,서울,강동구,1174010800,성내동,1174066000,성내3동,1.17404E+11,서울 강동구 양재대로91길 20,5404,다사677477,127.1349692,37.52805886,상설장,매일,125,농산물+축산물+수산물+가공식품+가정용품,,,Y,Y,2010,02-6052-5657,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000008,쇼핑,전통시장,명일전통시장,서울,강동구,1174010100,명일동,1174053000,명일1동,1.17404E+11,서울 강동구 양재대로138길 20,5295,다사686500,127.1449535,37.54953208,상설장,매일,90,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,2011,02-475-7095,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000009,쇼핑,전통시장,성내전통시장,서울,강동구,1174010800,성내동,1174065000,성내2동,1.17404E+11,서울 강동구 천호대로162길 61,5383,다사671483,127.1278893,37.53416804,상설장,매일,82,농산물+축산물+수산물+가공식품+기타소매업,,,N,Y,2011,02-475-8272,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000010,쇼핑,전통시장,암사종합시장,서울,강동구,1174010700,암사동,1174057000,암사1동,1.17404E+11,서울 강동구 상암로11길 17,5264,다사672501,127.1287154,37.5505465,상설장,매일,113,농산물+축산물+수산물+가공식품+음식점업,,https://amsamarket.co.kr/main/main.php,Y,Y,2006,02-442-1040,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
