순번,시장-상점가 구분,인정여부,지자체,시장-상점가명,실시여부 - 1) 배송서비스,실시여부 - 2) 장보기서비스
1,전통시장,인정시장,서울강남구,강남시장,2,2
2,전통시장,인정시장,서울강남구,신사상가,2,2
3,전통시장,인정시장,서울강남구,영동전통시장,1,2
4,전통시장,인정시장,서울강남구,청담삼익시장,2,2
5,전통시장,인정시장,서울강동구,고분다리전통시장,1,2
6,전통시장,인정시장,서울강동구,길동복조리시장,1,2
7,전통시장,인정시장,서울강동구,둔촌역전통시장,1,1
8,전통시장,인정시장,서울강동구,명일전통시장,2,2
9,전통시장,인정시장,서울강동구,성내전통시장,2,2
10,전통시장,인정시장,서울강동구,암사종합시장,1,1
11,전통시장,인정시장,서울강북구,강북북부시장,2,2
12,전통시장,인정시장,서울강북구,강북종합전통시장,2,2
13,전통시장,인정시장,서울강북구,동북시장,2,2
14,전통시장,미인정시장,서울강북구,방천골목시장,2,2
15,전통시장,미인정시장,서울강북구,번동북부골목시장,2,2
16,전통시장,미인정시장,서울강북구,솔샘시장,2,2
17,전통시장,인정시장,서울강북구,수유북부시장,2,2
18,전통시장,인정시장,서울강북구,수유시장,2,2
19,전통시장,인정시장,서울강북구,수유재래시장,1,2
20,전통시장,인정시장,서울강북구,수유전통시장(수유골목시장),2,1
21,전통시장,미인정시장,서울강북구,수유중앙골목시장,2,2
22,전통시장,인정시장,서울강북구,수유중앙시장,2,2
23,전통시장,인정시장,서울강북구,수유프라자,2,2
24,전통시장,미인정시장,서울강북구,우이골목시장,2,2
25,전통시장,인정시장,서울강북구,우이시장,2,2
26,전통시장,인정시장,서울강북구,장미원골목시장,2,2
27,전통시장,미인정시장,서울강북구,삼양골목시장,2,2
28,전통시장,인정시장,서울강서구,까치산시장,2,2
29,전통시장,인정시장,서울강서구,남부골목시장,2,2
30,전통시장,인정시장,서울강서구,남부화곡시장,2,2
31,전통시장,인정시장,서울강서구,대원종합시장,2,2
32,전통시장,인정시장,서울강서구,등마루시장,2,2
33,전통시장,인정시장,서울강서구,방신전통시장,1,2
34,전통시장,인정시장,서울강서구,신월중앙시장,2,2
35,전통시장,인정시장,서울강서구,화곡본동시장,1,2
36,전통시장,인정시장,서울강서구,화곡중앙골목시장,2,2
37,전통시장,미인정시장,서울관악구,강남골목시장,2,2
38,전통시장,인정시장,서울관악구,관악신사시장,1,1
39,전통시장,인정시장,서울관악구,관악종합시장,2,2
40,전통시장,미인정시장,서울관악구,미성동도깨비시장,2,2
41,전통시장,인정시장,서울관악구,봉일시장,2,2
42,전통시장,인정시장,서울관악구,봉천제일종합시장,2,2
43,전통시장,인정시장,서울관악구,봉천중앙시장,2,2
44,전통시장,인정시장,서울관악구,봉천현대시장,1,2
45,전통시장,인정시장,서울관악구,신림종합시장,2,2
46,전통시장,인정시장,서울관악구,신림현대종합상가,2,2
47,전통시장,인정시장,서울관악구,신신림시장,2,2
48,전통시장,인정시장,서울관악구,신원시장,2,2
49,전통시장,인정시장,서울관악구,우림시장,2,2
50,전통시장,인정시장,서울관악구,인헌시장,1,1
51,전통시장,미인정시장,서울관악구,중부시장,2,2
52,전통시장,인정시장,서울관악구,펭귄시장,1,2
53,전통시장,미인정시장,서울관악구,영림시장,2,2
54,전통시장,인정시장,서울광진구,광성시장,1,1
55,전통시장,인정시장,서울광진구,노룬산골목시장(인정시장),2,2
56,전통시장,인정시장,서울광진구,노룬산시장(건물형),2,2
57,전통시장,미인정시장,서울광진구,면곡시장(골목형)(미인정),2,2
58,전통시장,인정시장,서울광진구,신성종합시장(건물형),2,2
59,전통시장,인정시장,서울광진구,영동교골목시장,2,2
60,전통시장,인정시장,서울광진구,자양전통시장,1,2
61,전통시장,인정시장,서울광진구,조양시장(건물형),2,2
62,전통시장,인정시장,서울광진구,중곡제일전통시장(중곡제일시장),1,2
63,전통시장,인정시장,서울광진구,화양제일골목시장,2,2
64,전통시장,인정시장,서울구로구,가리봉시장,2,2
65,전통시장,인정시장,서울구로구,개봉중앙시장,2,2
66,전통시장,인정시장,서울구로구,개봉프라자,2,2
67,전통시장,인정시장,서울구로구,고척근린시장,1,2
68,전통시장,인정시장,서울구로구,구로시장,2,2
69,전통시장,인정시장,서울구로구,남구로시장,1,2
70,전통시장,인정시장,서울금천구,남문시장,1,2
71,전통시장,인정시장,서울금천구,은행나무시장,2,2
72,전통시장,인정시장,서울금천구,현대시장,2,2
73,전통시장,인정시장,서울노원구,공릉동도깨비시장,1,2
74,전통시장,인정시장,서울노원구,상계중앙시장,2,2
75,전통시장,인정시장,서울도봉구,방학동도깨비시장,1,2
76,전통시장,인정시장,서울도봉구,백운시장,2,2
77,전통시장,인정시장,서울도봉구,신도봉시장,2,2
78,전통시장,인정시장,서울도봉구,창동골목시장,2,2
79,전통시장,인정시장,서울도봉구,창동신창시장,1,2
80,전통시장,인정시장,서울동대문구,경동광성상가,2,2
81,전통시장,인정시장,서울동대문구,답십리시장,2,2
82,전통시장,인정시장,서울동대문구,답십리현대시장,1,2
83,전통시장,인정시장,서울동대문구,동부시장,2,2
84,전통시장,인정시장,서울동대문구,동서시장,2,2
85,전통시장,인정시장,서울동대문구,서울약령시장,2,2
86,전통시장,인정시장,서울동대문구,전농로터리시장,2,2
87,전통시장,인정시장,서울동대문구,청량리농수산물시장,2,2
88,전통시장,인정시장,서울동대문구,청량리수산시장,2,2
89,전통시장,인정시장,서울동대문구,청량리전통시장,2,2
90,전통시장,인정시장,서울동대문구,청량리종합시장,2,2
91,전통시장,인정시장,서울동대문구,청량리청과물시장,2,2
92,전통시장,인정시장,서울동대문구,청량종합도매시장(깡통시장),2,2
93,전통시장,인정시장,서울동대문구,회기시장,2,2
94,전통시장,인정시장,서울동작구,강남시장,2,2
95,전통시장,인정시장,서울동작구,남성시장,2,2
96,전통시장,인정시장,서울동작구,남성역골목시장,2,2
97,전통시장,미인정시장,서울동작구,노량진중앙시장,2,2
98,전통시장,미인정시장,서울동작구,만양로 상점가,2,2
99,전통시장,인정시장,서울동작구,본동인정시장,2,2
100,전통시장,인정시장,서울동작구,사당시장,2,2
101,전통시장,미인정시장,서울동작구,상도4동 도깨비시장,2,2
102,전통시장,인정시장,서울동작구,상도전통시장,2,2
103,전통시장,인정시장,서울동작구,성대시장,2,2
104,전통시장,인정시장,서울동작구,성대전통시장,1,1
105,전통시장,미인정시장,서울동작구,신대방1동 골목시장,2,2
106,전통시장,인정시장,서울동작구,영도시장,2,2
107,전통시장,미인정시장,서울동작구,흑석시장,2,2
108,전통시장,인정시장,서울마포구,공덕시장,2,2
109,전통시장,인정시장,서울마포구,마포농수산물시장,2,2
110,전통시장,인정시장,서울마포구,망원동월드컵시장,2,2
111,전통시장,인정시장,서울마포구,망원시장,1,1
112,전통시장,인정시장,서울마포구,서교시장,2,2
113,전통시장,인정시장,서울마포구,아현시장,2,2
114,전통시장,인정시장,서울마포구,영진시장,2,2
115,전통시장,인정시장,서울서대문구,백련시장,1,2
116,전통시장,인정시장,서울서대문구,연희사러가,2,2
117,전통시장,인정시장,서울서대문구,영천시장,1,2
118,전통시장,인정시장,서울서대문구,유진상가,2,2
119,전통시장,인정시장,서울서대문구,인왕시장,2,2
120,전통시장,인정시장,서울서초구,남부종합시장,2,2
121,전통시장,인정시장,서울서초구,양재시장,2,2
122,전통시장,인정시장,서울성동구,금남시장,2,1
123,전통시장,인정시장,서울성동구,뚝도시장,1,2
124,전통시장,인정시장,서울성동구,마장축산물시장,2,2
125,전통시장,인정시장,서울성동구,용답상가시장,2,2
126,전통시장,인정시장,서울성북구,길음시장,2,2
127,전통시장,인정시장,서울성북구,돈암시장,2,2
128,전통시장,미인정시장,서울성북구,밤나무골시장,2,2
129,전통시장,인정시장,서울성북구,석관시장,2,2
130,전통시장,인정시장,서울성북구,돌곶이시장(구 석관황금시장),2,2
131,전통시장,인정시장,서울성북구,장위전통시장,2,2
132,전통시장,인정시장,서울성북구,정릉시장,1,2
133,전통시장,인정시장,서울성북구,정릉아리랑시장,2,2
134,전통시장,인정시장,서울송파구,마천시장,2,2
135,전통시장,인정시장,서울송파구,마천중앙시장,2,2
136,전통시장,인정시장,서울송파구,방이시장,2,2
137,전통시장,인정시장,서울송파구,새마을시장,2,2
138,전통시장,인정시장,서울송파구,석촌시장,2,2
139,전통시장,인정시장,서울송파구,풍납시장,1,2
140,전통시장,인정시장,서울양천구,경창시장,2,2
141,전통시장,인정시장,서울양천구,목2동시장,2,2
142,전통시장,인정시장,서울양천구,목동깨비시장 (목3동시장),1,1
143,전통시장,인정시장,서울양천구,목사랑시장 (목4동시장),1,1
144,전통시장,인정시장,서울양천구,신월1동신영시장,1,2
145,전통시장,미인정시장,서울양천구,신월3동골목시장,2,2
146,전통시장,미인정시장,서울양천구,신월7동골목시장,2,2
147,전통시장,미인정시장,서울양천구,신정1동골목시장,2,2
148,전통시장,미인정시장,서울양천구,신정2동골목시장,2,2
149,전통시장,인정시장,서울양천구,우성상가시장,2,2
150,전통시장,인정시장,서울양천구,월정로시장,2,2
151,전통시장,인정시장,서울영등포구,대림중앙시장,2,2
152,전통시장,인정시장,서울영등포구,대신시장,2,2
153,전통시장,인정시장,서울영등포구,동남상가,2,2
154,전통시장,인정시장,서울영등포구,삼구시장,2,2
155,전통시장,인정시장,서울영등포구,영신상가,2,2
156,전통시장,인정시장,서울영등포구,영일시장,2,2
157,전통시장,인정시장,서울영등포구,영진시장(A동),2,2
158,전통시장,인정시장,서울용산구,만리시장,2,2
159,전통시장,인정시장,서울용산구,보광시장,2,2
160,전통시장,인정시장,서울용산구,신흥시장,2,2
161,전통시장,인정시장,서울용산구,용산용문전통시장,1,2
162,전통시장,인정시장,서울용산구,이촌종합시장,2,2
163,전통시장,인정시장,서울용산구,이태원시장,2,2
164,전통시장,인정시장,서울용산구,후암시장,2,2
165,전통시장,인정시장,서울은평구,대림골목시장,2,2
166,전통시장,인정시장,서울은평구,대림시장,2,2
167,전통시장,인정시장,서울은평구,대조시장,2,2
168,전통시장,인정시장,서울은평구,신응암시장,1,2
169,전통시장,인정시장,서울은평구,연서시장,1,2
170,전통시장,인정시장,서울은평구,제일시장,2,2
171,전통시장,인정시장,서울은평구,증산종합시장,2,2
172,전통시장,미인정시장,서울종로구,낙원시장,1,2
173,전통시장,미인정시장,서울종로구,동대문상가A동,2,2
174,전통시장,미인정시장,서울종로구,동대문상가B동,2,2
175,전통시장,미인정시장,서울종로구,동대문상가C동,2,2
176,전통시장,인정시장,서울종로구,동대문종합시장,2,2
177,전통시장,인정시장,서울종로구,동대문종합시장D동상가,2,2
178,전통시장,인정시장,서울종로구,동문시장㈜,2,2
179,전통시장,인정시장,서울종로구,신설종합시장,2,2
180,전통시장,인정시장,서울종로구,종로신진시장,2,2
181,전통시장,인정시장,서울종로구,통인시장,1,2
182,전통시장,인정시장,서울종로구,한일상가,2,2
183,전통시장,미인정시장,서울종로구,동대문상가D동,2,2
184,전통시장,인정시장,서울종로구,동대문종합시장 신관(동대문쇼핑타운),2,2
185,전통시장,인정시장,서울중구,광희패션몰,2,2
186,전통시장,인정시장,서울중구,남대문시장,2,2
187,전통시장,인정시장,서울중구,남평화시장,2,2
188,전통시장,인정시장,서울중구,대림상가,2,2
189,전통시장,인정시장,서울중구,동평화시장,2,2
190,전통시장,인정시장,서울중구,동화상가,2,2
191,전통시장,인정시장,서울중구,방산종합시장,2,2
192,전통시장,인정시장,서울중구,삼익패션타운,2,2
193,전통시장,인정시장,서울중구,서울중앙시장,2,2
194,전통시장,인정시장,서울중구,신중부시장,2,2
195,전통시장,인정시장,서울중구,신중앙시장,2,2
196,전통시장,인정시장,서울중구,신평화패션타운,2,2
197,전통시장,인정시장,서울중구,약수시장,2,2
198,전통시장,인정시장,서울중구,자유상가,2,2
199,전통시장,인정시장,서울중구,제일평화시장,2,2
200,전통시장,인정시장,서울중구,중부시장,2,2
201,전통시장,인정시장,서울중구,테크노상가,2,2
202,전통시장,인정시장,서울중구,통일상가,2,2
203,전통시장,인정시장,서울중구,평화시장,2,2
204,전통시장,인정시장,서울중구,황학시장,2,2
205,전통시장,인정시장,서울중랑구,동성타워프라자,2,2
206,전통시장,인정시장,서울중랑구,동원시장,2,2
207,전통시장,인정시장,서울중랑구,동원전통종합시장,1,1
208,전통시장,인정시장,서울중랑구,면목골목시장,2,2
209,전통시장,인정시장,서울중랑구,면목시장,2,2
210,전통시장,인정시장,서울중랑구,사가정시장,2,2
211,전통시장,인정시장,서울중랑구,신아타운,2,2
